epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3062,3.36914,6.0773,1.12543,0,0,0,0,4.95795,4.41056,1.14978,0.0674925,0.000328358,0.000328358
2,42.9295,2.34778,1.33009,0.87198,0.63888,0.54957,0.55479,0.16933,2.42437,1.68796,0.88668,0.034486,0.000655141,0.000655141
1,20.6638,3.36914,6.0773,1.12543,0,0,0,0,4.95795,4.41056,1.14978,0.0674925,0.000328358,0.000328358
2,40.6579,2.33735,1.32685,0.87069,0.56444,0.56975,0.49941,0.15621,2.34522,1.68466,0.88293,0.0344882,0.000657324,0.000657324
3,60.5963,2.27828,1.19206,0.86854,0.66506,0.60766,0.65091,0.18122,2.50543,1.26803,0.8868,0.0014794,0.000981891,0.000981891
4,80.4041,2.12483,1.08932,0.84849,0.66025,0.67241,0.66095,0.15099,2.80602,1.14528,0.90243,0.0009802,0.0009802,0.0009802
5,100.238,1.97045,1.01812,0.83858,0.85446,0.81034,0.8582,0.33755,1.97382,0.94273,0.85264,0.0009736,0.0009736,0.0009736
6,120.171,1.96155,0.98636,0.83338,0.81543,0.77122,0.82274,0.3054,2.07037,1.00206,0.86131,0.000967,0.000967,0.000967
7,140.143,2.02228,0.995,0.83945,0.83927,0.844,0.895,0.40901,1.82356,0.89068,0.84774,0.0009604,0.0009604,0.0009604
8,160.433,2.08293,1.03088,0.84422,0.79754,0.76293,0.81479,0.24999,2.37145,1.03301,0.87378,0.0009538,0.0009538,0.0009538
9,185.83,1.87254,0.95191,0.82947,0.88358,0.83405,0.90102,0.41168,1.75647,0.93448,0.84439,0.0009472,0.0009472,0.0009472
10,209.604,1.86076,0.93014,0.8279,0.88121,0.8154,0.89755,0.34116,2.08171,0.90189,0.85858,0.0009406,0.0009406,0.0009406
11,229.315,1.84576,0.92499,0.82634,0.85891,0.86853,0.91908,0.42335,1.7072,0.87157,0.8405,0.000934,0.000934,0.000934
12,249.103,1.81967,0.89708,0.82439,0.82501,0.79095,0.8594,0.34217,2.02223,0.88453,0.85903,0.0009274,0.0009274,0.0009274
13,268.855,1.81452,0.8894,0.82139,0.87424,0.78017,0.85323,0.2863,2.38342,0.91545,0.87382,0.0009208,0.0009208,0.0009208
14,288.67,1.83461,0.88607,0.82714,0.8413,0.80172,0.85345,0.31292,2.08487,0.92626,0.85626,0.0009142,0.0009142,0.0009142
15,308.455,1.87692,0.90487,0.82724,0.88354,0.85345,0.89911,0.38474,1.90644,0.85609,0.84821,0.0009076,0.0009076,0.0009076
16,328.282,1.78877,0.86173,0.82187,0.85041,0.83836,0.85355,0.3256,2.08959,0.86425,0.86098,0.000901,0.000901,0.000901
17,348.112,1.83564,0.87544,0.82329,0.87944,0.84052,0.88224,0.39292,1.81847,0.83201,0.84663,0.0008944,0.0008944,0.0008944
18,367.977,1.79862,0.85215,0.82306,0.85954,0.84267,0.89107,0.34551,2.11346,0.86038,0.85889,0.0008878,0.0008878,0.0008878
19,387.893,1.76149,0.84452,0.8198,0.90202,0.89009,0.93418,0.43596,1.74045,0.7965,0.84201,0.0008812,0.0008812,0.0008812
20,407.765,1.75378,0.84438,0.82019,0.86829,0.88362,0.91617,0.412,1.79622,0.8054,0.84219,0.0008746,0.0008746,0.0008746
21,427.618,1.74077,0.845,0.81844,0.89663,0.87284,0.91318,0.42421,1.71245,0.78253,0.84048,0.000868,0.000868,0.000868
22,447.389,1.733,0.82675,0.82044,0.8828,0.87069,0.91467,0.41371,1.86881,0.80293,0.84813,0.0008614,0.0008614,0.0008614
23,467.275,1.77281,0.82407,0.82015,0.86272,0.87284,0.90302,0.33779,2.09056,0.84794,0.85614,0.0008548,0.0008548,0.0008548
24,487.364,1.77605,0.84617,0.81912,0.89005,0.87231,0.91187,0.39393,1.8311,0.795,0.83995,0.0008482,0.0008482,0.0008482
25,507.533,1.73315,0.83869,0.81601,0.90401,0.8931,0.91764,0.40802,1.83937,0.80978,0.84456,0.0008416,0.0008416,0.0008416
26,527.624,1.67748,0.80078,0.81157,0.88532,0.86514,0.92579,0.37365,1.95291,0.81484,0.84944,0.000835,0.000835,0.000835
27,547.575,1.69207,0.7985,0.81379,0.89877,0.82112,0.9109,0.36332,2.09341,0.82034,0.85858,0.0008284,0.0008284,0.0008284
28,567.614,1.71007,0.80137,0.8152,0.92877,0.90517,0.95098,0.46517,1.60969,0.74041,0.8324,0.0008218,0.0008218,0.0008218
29,587.566,1.72105,0.79989,0.81456,0.91498,0.92241,0.94324,0.47418,1.60173,0.75392,0.8326,0.0008152,0.0008152,0.0008152
30,607.536,1.69116,0.79004,0.81168,0.93148,0.91595,0.95342,0.49719,1.50519,0.71516,0.82934,0.0008086,0.0008086,0.0008086
31,627.381,1.67359,0.803,0.8102,0.90191,0.87189,0.92186,0.3889,1.96519,0.78757,0.84786,0.000802,0.000802,0.000802
32,647.356,1.70343,0.80679,0.81287,0.89502,0.88197,0.91869,0.39302,1.93455,0.79343,0.85054,0.0007954,0.0007954,0.0007954
33,667.258,1.68397,0.7951,0.81127,0.91099,0.90948,0.94954,0.476,1.58859,0.72465,0.83201,0.0007888,0.0007888,0.0007888
34,687.156,1.66212,0.78985,0.81142,0.88599,0.84267,0.89823,0.30715,2.3578,0.89656,0.87601,0.0007822,0.0007822,0.0007822
35,707.007,1.67478,0.78644,0.81247,0.90433,0.87931,0.92768,0.4568,1.64101,0.7669,0.83298,0.0007756,0.0007756,0.0007756
36,726.866,1.71387,0.7877,0.81419,0.91879,0.90517,0.94755,0.4507,1.68039,0.75262,0.83246,0.000769,0.000769,0.000769
37,746.714,1.6893,0.78224,0.8108,0.90893,0.89655,0.94065,0.46463,1.65866,0.73946,0.83413,0.0007624,0.0007624,0.0007624
38,766.587,1.64233,0.76967,0.81274,0.93101,0.9016,0.94584,0.48651,1.54527,0.71375,0.82822,0.0007558,0.0007558,0.0007558
39,786.345,1.6337,0.772,0.80809,0.9051,0.92241,0.94713,0.47618,1.57361,0.72689,0.83027,0.0007492,0.0007492,0.0007492
40,806.375,1.62839,0.77074,0.80819,0.87471,0.88578,0.92916,0.41351,1.85698,0.76703,0.84304,0.0007426,0.0007426,0.0007426
41,826.39,1.64483,0.77937,0.81016,0.90056,0.90948,0.93499,0.45539,1.65816,0.74169,0.83215,0.000736,0.000736,0.000736
42,846.423,1.61461,0.77323,0.80943,0.9147,0.89655,0.93186,0.42318,1.86583,0.76336,0.84399,0.0007294,0.0007294,0.0007294
43,866.167,1.60627,0.76448,0.80685,0.91155,0.89224,0.92436,0.41389,1.84453,0.78514,0.84192,0.0007228,0.0007228,0.0007228
44,886.123,1.62503,0.75445,0.80951,0.90339,0.86661,0.91659,0.37041,2.07518,0.78748,0.85449,0.0007162,0.0007162,0.0007162
45,906.075,1.64079,0.76681,0.80903,0.9107,0.87913,0.92542,0.37911,2.06017,0.78491,0.85318,0.0007096,0.0007096,0.0007096
46,925.961,1.61313,0.76071,0.80813,0.93417,0.91746,0.94499,0.47776,1.55809,0.70807,0.82879,0.000703,0.000703,0.000703
47,945.784,1.58477,0.74088,0.80462,0.92363,0.91595,0.95605,0.49134,1.5407,0.72919,0.82644,0.0006964,0.0006964,0.0006964
48,965.746,1.62322,0.75105,0.8102,0.91835,0.9181,0.94867,0.47834,1.57834,0.73071,0.83009,0.0006898,0.0006898,0.0006898
49,985.645,1.60653,0.74466,0.80791,0.93871,0.90302,0.95358,0.48796,1.52742,0.73427,0.83047,0.0006832,0.0006832,0.0006832
50,1005.56,1.59414,0.76905,0.80676,0.90144,0.86735,0.92485,0.43222,1.81811,0.76574,0.84385,0.0006766,0.0006766,0.0006766
51,1025.37,1.60284,0.7462,0.80891,0.86212,0.90286,0.9093,0.3922,1.95925,0.7864,0.85067,0.00067,0.00067,0.00067
52,1045.27,1.62249,0.75421,0.8099,0.90691,0.88578,0.92855,0.41258,1.90297,0.77948,0.84735,0.0006634,0.0006634,0.0006634
53,1065.1,1.59482,0.7461,0.80728,0.89117,0.9181,0.94961,0.47354,1.58198,0.73265,0.83057,0.0006568,0.0006568,0.0006568
54,1085.01,1.59449,0.74355,0.8066,0.90658,0.92672,0.93563,0.46702,1.62631,0.73431,0.83209,0.0006502,0.0006502,0.0006502
55,1104.81,1.59651,0.74287,0.80836,0.90364,0.90945,0.92992,0.43895,1.74602,0.74576,0.83757,0.0006436,0.0006436,0.0006436
56,1124.79,1.58131,0.74515,0.80541,0.91852,0.89893,0.93535,0.45452,1.74997,0.74326,0.83646,0.000637,0.000637,0.000637
57,1145.15,1.58806,0.73556,0.80758,0.90932,0.91164,0.94045,0.44861,1.74221,0.72631,0.83921,0.0006304,0.0006304,0.0006304
58,1165.13,1.5606,0.72963,0.80356,0.91515,0.92457,0.94761,0.47759,1.58828,0.70989,0.82987,0.0006238,0.0006238,0.0006238
59,1185.11,1.59649,0.74458,0.80441,0.90674,0.91164,0.93883,0.45739,1.692,0.7278,0.83745,0.0006172,0.0006172,0.0006172
60,1205.11,1.57363,0.73801,0.80612,0.92488,0.91164,0.94493,0.47944,1.63418,0.71202,0.83336,0.0006106,0.0006106,0.0006106
61,1225,1.5742,0.72925,0.80647,0.89839,0.87653,0.92392,0.37232,2.11992,0.78051,0.85977,0.000604,0.000604,0.000604
62,1244.98,1.57275,0.73357,0.8054,0.90147,0.90698,0.94568,0.46842,1.70228,0.7282,0.83567,0.0005974,0.0005974,0.0005974
63,1265.14,1.53949,0.7129,0.80602,0.89796,0.92241,0.94112,0.46117,1.70474,0.7146,0.83511,0.0005908,0.0005908,0.0005908
64,1285.11,1.55912,0.72792,0.80576,0.93285,0.92888,0.96127,0.50585,1.50013,0.69093,0.82612,0.0005842,0.0005842,0.0005842
65,1305.03,1.55268,0.72607,0.80551,0.94458,0.91836,0.94942,0.47929,1.64873,0.69453,0.83411,0.0005776,0.0005776,0.0005776
66,1324.94,1.5439,0.72353,0.80416,0.94461,0.90733,0.95431,0.4866,1.55347,0.7027,0.82627,0.000571,0.000571,0.000571
67,1344.81,1.54957,0.72313,0.8053,0.92873,0.90302,0.96041,0.47131,1.67179,0.70851,0.83481,0.0005644,0.0005644,0.0005644
68,1364.67,1.54387,0.72096,0.80386,0.928,0.91664,0.95261,0.4743,1.6245,0.70848,0.83274,0.0005578,0.0005578,0.0005578
69,1384.49,1.5406,0.71159,0.80179,0.94167,0.92241,0.95661,0.49437,1.49534,0.71754,0.82395,0.0005512,0.0005512,0.0005512
70,1404.36,1.52357,0.71641,0.80221,0.92999,0.90733,0.95722,0.48996,1.55168,0.69846,0.82826,0.0005446,0.0005446,0.0005446
71,1424.28,1.54257,0.70745,0.80257,0.92815,0.92241,0.95497,0.50861,1.51497,0.6849,0.82778,0.000538,0.000538,0.000538
72,1444.13,1.53655,0.7167,0.80502,0.89932,0.90517,0.92689,0.46422,1.65637,0.71251,0.83178,0.0005314,0.0005314,0.0005314
73,1464.12,1.54072,0.7201,0.80253,0.93401,0.91513,0.94793,0.49826,1.56246,0.69252,0.82815,0.0005248,0.0005248,0.0005248
74,1484.24,1.54459,0.72292,0.80327,0.94027,0.92026,0.96148,0.5026,1.48926,0.67178,0.82613,0.0005182,0.0005182,0.0005182
75,1504.26,1.52679,0.71469,0.80354,0.93644,0.91595,0.94744,0.49258,1.54283,0.69862,0.82773,0.0005116,0.0005116,0.0005116
76,1524.31,1.51864,0.70523,0.80369,0.93957,0.9047,0.95139,0.47734,1.63512,0.70385,0.83236,0.000505,0.000505,0.000505
77,1544.44,1.51439,0.70174,0.79993,0.93156,0.92026,0.95583,0.48764,1.61528,0.70532,0.83124,0.0004984,0.0004984,0.0004984
78,1564.41,1.50283,0.7061,0.79993,0.91309,0.90948,0.93479,0.46844,1.6081,0.70436,0.83008,0.0004918,0.0004918,0.0004918
79,1584.36,1.52363,0.70443,0.80156,0.93428,0.91913,0.95792,0.50411,1.51785,0.68261,0.82519,0.0004852,0.0004852,0.0004852
80,1604.24,1.53546,0.70592,0.80351,0.93202,0.91594,0.95837,0.50275,1.49983,0.69415,0.82413,0.0004786,0.0004786,0.0004786
81,1624.18,1.54017,0.70307,0.80464,0.91449,0.92198,0.95098,0.47307,1.68516,0.70072,0.83519,0.000472,0.000472,0.000472
82,1644.1,1.51167,0.70935,0.80004,0.91611,0.92241,0.95222,0.47715,1.62766,0.69356,0.83014,0.0004654,0.0004654,0.0004654
83,1664.08,1.52376,0.70091,0.8019,0.94072,0.92672,0.96327,0.51169,1.47486,0.67783,0.82432,0.0004588,0.0004588,0.0004588
84,1683.99,1.50689,0.70728,0.80099,0.93025,0.91974,0.95922,0.49548,1.54522,0.69508,0.82496,0.0004522,0.0004522,0.0004522
85,1703.92,1.49799,0.69604,0.80377,0.93903,0.91379,0.94524,0.48981,1.56838,0.68794,0.83006,0.0004456,0.0004456,0.0004456
86,1723.91,1.51428,0.70194,0.80104,0.93389,0.91336,0.95573,0.5024,1.50251,0.6824,0.82514,0.000439,0.000439,0.000439
87,1744.04,1.4846,0.68132,0.80061,0.93701,0.92965,0.9624,0.49917,1.51477,0.67158,0.82668,0.0004324,0.0004324,0.0004324
88,1764,1.49327,0.68969,0.80126,0.94005,0.91252,0.95988,0.49446,1.52989,0.68511,0.82793,0.0004258,0.0004258,0.0004258
89,1783.94,1.4883,0.68751,0.80197,0.93498,0.91379,0.94826,0.49027,1.56441,0.69928,0.8291,0.0004192,0.0004192,0.0004192
90,1803.91,1.5104,0.69284,0.80108,0.91887,0.92752,0.95347,0.50423,1.5141,0.68739,0.82621,0.0004126,0.0004126,0.0004126
91,1823.91,1.49961,0.69238,0.80104,0.91309,0.92831,0.96046,0.50082,1.50634,0.67824,0.82636,0.000406,0.000406,0.000406
92,1843.87,1.48843,0.69337,0.79994,0.9326,0.92441,0.96409,0.51418,1.48252,0.67249,0.82589,0.0003994,0.0003994,0.0003994
93,1863.84,1.47103,0.67324,0.80009,0.93933,0.90088,0.94972,0.49607,1.54474,0.67908,0.82814,0.0003928,0.0003928,0.0003928
94,1883.96,1.48878,0.6951,0.79773,0.94615,0.9088,0.96033,0.49813,1.51494,0.67791,0.82599,0.0003862,0.0003862,0.0003862
95,1903.82,1.4952,0.68473,0.80125,0.9466,0.91683,0.96553,0.51174,1.47779,0.67624,0.82588,0.0003796,0.0003796,0.0003796
96,1923.77,1.51215,0.69769,0.80112,0.9391,0.89725,0.95714,0.49136,1.55033,0.68091,0.82973,0.000373,0.000373,0.000373
97,1943.74,1.49582,0.6985,0.80017,0.91898,0.92457,0.9603,0.49651,1.52498,0.68417,0.8267,0.0003664,0.0003664,0.0003664
98,1963.65,1.45407,0.6736,0.7991,0.94042,0.91845,0.95776,0.48716,1.54703,0.68568,0.82828,0.0003598,0.0003598,0.0003598
99,1983.54,1.47637,0.68683,0.79696,0.91401,0.91632,0.94755,0.46146,1.66634,0.70324,0.83252,0.0003532,0.0003532,0.0003532
100,2003.48,1.48651,0.68385,0.80277,0.9303,0.92051,0.95919,0.50076,1.54024,0.6741,0.8279,0.0003466,0.0003466,0.0003466
101,2023.52,1.46681,0.68444,0.79888,0.94293,0.92672,0.96338,0.51368,1.4677,0.66838,0.82419,0.00034,0.00034,0.00034
102,2043.49,1.46262,0.67622,0.79907,0.93215,0.91379,0.95392,0.5038,1.4812,0.66908,0.82551,0.0003334,0.0003334,0.0003334
103,2063.41,1.47719,0.6877,0.79974,0.93103,0.9181,0.95826,0.50121,1.51064,0.67999,0.82519,0.0003268,0.0003268,0.0003268
104,2083.49,1.48009,0.68575,0.80172,0.93755,0.91379,0.96134,0.50584,1.51064,0.67754,0.82768,0.0003202,0.0003202,0.0003202
105,2103.43,1.46677,0.68021,0.79961,0.93583,0.93319,0.95897,0.51032,1.50374,0.67177,0.82491,0.0003136,0.0003136,0.0003136
106,2123.3,1.45204,0.66889,0.80126,0.92442,0.92672,0.96032,0.50258,1.51604,0.66708,0.8265,0.000307,0.000307,0.000307
107,2143.28,1.44359,0.66713,0.79977,0.92591,0.9181,0.95565,0.50146,1.5308,0.6884,0.82809,0.0003004,0.0003004,0.0003004
108,2163.29,1.44552,0.67229,0.79837,0.91975,0.91392,0.94974,0.50753,1.50519,0.67315,0.8256,0.0002938,0.0002938,0.0002938
109,2183.27,1.45374,0.66372,0.79797,0.9344,0.92457,0.96171,0.52007,1.45284,0.66955,0.82387,0.0002872,0.0002872,0.0002872
110,2203.3,1.45263,0.66613,0.79969,0.94236,0.91618,0.96786,0.51954,1.49839,0.66564,0.82482,0.0002806,0.0002806,0.0002806
111,2223.24,1.4377,0.66035,0.79708,0.92113,0.93534,0.96012,0.51048,1.46484,0.67651,0.8248,0.000274,0.000274,0.000274
112,2243.12,1.44391,0.66393,0.79669,0.92327,0.93351,0.96126,0.51149,1.45831,0.67038,0.82218,0.0002674,0.0002674,0.0002674
113,2263.05,1.45262,0.6622,0.79968,0.93514,0.9181,0.95509,0.5042,1.5237,0.67121,0.82661,0.0002608,0.0002608,0.0002608
114,2283,1.43576,0.65931,0.79869,0.94579,0.90246,0.96252,0.5123,1.51825,0.66274,0.82554,0.0002542,0.0002542,0.0002542
115,2302.97,1.44267,0.66133,0.79737,0.9281,0.91798,0.96363,0.50243,1.5572,0.67427,0.82758,0.0002476,0.0002476,0.0002476
116,2322.93,1.45088,0.66781,0.79836,0.93449,0.92241,0.95994,0.5195,1.46519,0.67532,0.82438,0.000241,0.000241,0.000241
117,2342.97,1.42379,0.65743,0.79829,0.91818,0.94321,0.96594,0.51153,1.47712,0.65291,0.82343,0.0002344,0.0002344,0.0002344
118,2362.97,1.43776,0.66213,0.80069,0.92935,0.93319,0.97022,0.51564,1.47771,0.66187,0.82413,0.0002278,0.0002278,0.0002278
119,2382.83,1.43449,0.65376,0.79868,0.93536,0.90435,0.94976,0.504,1.49061,0.67248,0.82442,0.0002212,0.0002212,0.0002212
120,2402.87,1.42738,0.65258,0.7988,0.92188,0.94181,0.96591,0.51695,1.47542,0.66004,0.8242,0.0002146,0.0002146,0.0002146
121,2422.82,1.42574,0.65291,0.79867,0.93386,0.93319,0.96878,0.51877,1.43431,0.65508,0.82156,0.000208,0.000208,0.000208
122,2442.78,1.38673,0.63636,0.79289,0.91941,0.93434,0.95764,0.517,1.45674,0.65667,0.8222,0.0002014,0.0002014,0.0002014
123,2462.86,1.44142,0.65313,0.79887,0.92522,0.92457,0.95861,0.51167,1.47463,0.67052,0.82378,0.0001948,0.0001948,0.0001948
124,2482.8,1.42046,0.65472,0.80071,0.92074,0.92241,0.96178,0.50732,1.51681,0.66212,0.82608,0.0001882,0.0001882,0.0001882
125,2502.81,1.42713,0.65177,0.79779,0.92409,0.93103,0.96495,0.50415,1.52065,0.6683,0.82529,0.0001816,0.0001816,0.0001816
126,2522.82,1.41602,0.64685,0.79508,0.94224,0.91414,0.96597,0.51685,1.48014,0.65284,0.8238,0.000175,0.000175,0.000175
127,2542.85,1.41087,0.65041,0.79479,0.9308,0.92762,0.96022,0.51638,1.4614,0.65447,0.82269,0.0001684,0.0001684,0.0001684
128,2562.78,1.39692,0.64958,0.79374,0.94797,0.91595,0.96495,0.51755,1.45928,0.65432,0.82306,0.0001618,0.0001618,0.0001618
129,2582.87,1.39351,0.63313,0.79581,0.95208,0.92457,0.96368,0.51782,1.49131,0.65749,0.82529,0.0001552,0.0001552,0.0001552
130,2602.92,1.39376,0.62681,0.79612,0.93813,0.9181,0.96315,0.51338,1.489,0.65931,0.82456,0.0001486,0.0001486,0.0001486
131,2623.03,1.38678,0.63153,0.79777,0.92207,0.93103,0.96395,0.52218,1.46242,0.65996,0.82359,0.000142,0.000142,0.000142
132,2643.55,1.39424,0.63911,0.79522,0.94222,0.93534,0.9662,0.51908,1.44829,0.65884,0.82253,0.0001354,0.0001354,0.0001354
133,2663.7,1.3874,0.63403,0.79546,0.93826,0.91164,0.95909,0.50663,1.50388,0.65872,0.82404,0.0001288,0.0001288,0.0001288
134,2683.73,1.37686,0.63238,0.79517,0.93648,0.9215,0.96286,0.51375,1.47358,0.65998,0.82324,0.0001222,0.0001222,0.0001222
135,2703.65,1.37911,0.62498,0.79501,0.9376,0.92457,0.96514,0.51743,1.47499,0.66131,0.82284,0.0001156,0.0001156,0.0001156
136,2723.59,1.38079,0.62428,0.79377,0.93668,0.92672,0.96202,0.51669,1.47222,0.66067,0.82243,0.000109,0.000109,0.000109
137,2743.61,1.36311,0.61599,0.7931,0.94092,0.92668,0.96207,0.51028,1.51367,0.65369,0.82471,0.0001024,0.0001024,0.0001024
138,2763.76,1.38601,0.62242,0.79575,0.94464,0.92672,0.96639,0.51171,1.48785,0.65733,0.8238,9.58e-05,9.58e-05,9.58e-05
139,2783.83,1.37488,0.62183,0.79794,0.92239,0.92212,0.96068,0.50736,1.52572,0.65843,0.82604,8.92e-05,8.92e-05,8.92e-05
140,2803.82,1.36384,0.62023,0.79629,0.94036,0.91379,0.96485,0.51176,1.48585,0.66033,0.82384,8.26e-05,8.26e-05,8.26e-05
141,2856.44,1.35548,0.62296,0.79864,0.9193,0.90835,0.95439,0.50623,1.51939,0.67695,0.82621,7.6e-05,7.6e-05,7.6e-05
142,2876.5,1.32739,0.62129,0.79598,0.93659,0.90517,0.95412,0.49185,1.54833,0.6853,0.8265,6.94e-05,6.94e-05,6.94e-05
143,2896.87,1.36048,0.62148,0.79872,0.92609,0.91821,0.95476,0.51104,1.50805,0.67323,0.82523,6.28e-05,6.28e-05,6.28e-05
144,2919.14,1.32761,0.61173,0.79654,0.92417,0.9181,0.95583,0.50467,1.51883,0.67589,0.82576,5.62e-05,5.62e-05,5.62e-05
145,2942.75,1.31227,0.61262,0.79463,0.92945,0.90862,0.95262,0.50009,1.53813,0.6738,0.82607,4.96e-05,4.96e-05,4.96e-05
146,2966.24,1.33727,0.62009,0.79676,0.93686,0.89537,0.95494,0.50847,1.51983,0.6691,0.82577,4.3e-05,4.3e-05,4.3e-05
147,2989.85,1.30934,0.60264,0.79748,0.92075,0.92647,0.95528,0.49683,1.53156,0.67582,0.82531,3.64e-05,3.64e-05,3.64e-05
148,3013.38,1.30599,0.61451,0.79586,0.91846,0.92245,0.95477,0.49885,1.54529,0.67762,0.82642,2.98e-05,2.98e-05,2.98e-05
149,3036.94,1.28416,0.59863,0.79318,0.91293,0.9265,0.95544,0.50329,1.53146,0.681,0.82641,2.32e-05,2.32e-05,2.32e-05
150,3060.51,1.29293,0.59451,0.79695,0.9222,0.91969,0.95781,0.50562,1.52338,0.67282,0.82576,1.66e-05,1.66e-05,1.66e-05
